"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)";"Absolute (rad/s)"
2.836096833E0;1.358357191E0;6.038540974E-2;-2.076043338E-1;1.375456366E0
2.846019833E0;1.283797264E0;1.674442291E-1;-1.649245173E-1;1.305133358E0
2.855941833E0;1.263210893E0;2.189755291E-1;-1.324332654E-1;1.288871837E0
2.865863833E0;1.264422417E0;2.741639316E-1;-8.781465888E-2;1.296781139E0
2.875786833E0;1.262879968E0;3.017584085E-1;-3.559511155E-2;1.298919151E0
2.885708833E0;1.264377952E0;2.833330631E-1;2.346900664E-2;1.295947539E0
2.895630833E0;1.271722794E0;1.285878271E-1;4.756524786E-2;1.279091922E0
2.905552833E0;1.279945016E0;-3.319707885E-2;6.116973981E-2;1.281835803E0
2.915475833E0;1.296672344E0;-5.901315436E-2;5.979621410E-2;1.299391130E0
2.925397833E0;1.283590913E0;-5.436513945E-2;4.325372353E-2;1.285469597E0
2.935319833E0;1.221831203E0;-2.377967909E-2;3.765251860E-2;1.222642496E0
2.945242833E0;1.107706428E0;-2.550567314E-2;2.451994084E-2;1.108271310E0
2.955164833E0;9.451197982E-1;2.532308176E-2;1.001512259E-2;9.455120275E-1
2.965086833E0;7.254161835E-1;6.397193670E-2;2.270561829E-2;7.285853368E-1
2.975008833E0;4.686812460E-1;6.842237711E-2;2.895267680E-2;4.745334441E-1
2.984931833E0;2.124068439E-1;7.538814098E-2;2.684158832E-2;2.269812988E-1
2.994853833E0;-2.704405598E-2;8.883373439E-2;2.026350610E-2;9.504432129E-2
3.004775833E0;-2.198787481E-1;9.419734031E-2;1.762564667E-2;2.398550942E-1
3.014698833E0;-3.463870585E-1;1.146215945E-1;8.008858189E-3;3.649469085E-1
3.024620833E0;-4.136230946E-1;1.680731028E-1;-1.486643101E-3;4.464693073E-1
3.034542833E0;-4.258091748E-1;2.196218073E-1;-6.450742483E-3;4.791542587E-1
3.044464833E0;-3.993474543E-1;2.679688334E-1;-1.197307371E-2;4.810707219E-1
3.054387833E0;-3.519171476E-1;2.842699587E-1;3.248360474E-3;4.523998675E-1
3.064309833E0;-2.871245444E-1;2.775747776E-1;8.225542493E-3;3.994445152E-1
3.074231833E0;-2.236572951E-1;2.685344517E-1;1.886521652E-2;3.499846194E-1
3.084155583E0;-1.705251038E-1;2.460174114E-1;2.578384243E-2;3.004466413E-1
3.094077583E0;-1.533087045E-1;1.993747950E-1;3.287945688E-2;2.536433055E-1
3.103999583E0;-1.559502929E-1;1.895064563E-1;4.807492346E-2;2.500887624E-1
3.113921583E0;-1.603596658E-1;1.720950007E-1;6.616483629E-2;2.443556777E-1
3.123844583E0;-1.946920753E-1;1.728731841E-1;9.627613425E-2;2.775954538E-1
3.133766583E0;-2.084475905E-1;2.603627443E-1;1.195608526E-1;3.543077110E-1
3.143688583E0;-2.125738859E-1;3.481096625E-1;1.663318276E-1;4.404932134E-1
3.153611583E0;-2.104872465E-1;3.989833593E-1;1.972345710E-1;4.923353308E-1
3.163533583E0;-2.179757804E-1;4.381762743E-1;2.129272521E-1;5.337133152E-1
3.173455583E0;-2.373413295E-1;4.846016467E-1;2.300520092E-1;5.865949110E-1
3.183377583E0;-2.783041894E-1;5.706343055E-1;2.517655790E-1;6.829807019E-1
3.193300583E0;-3.513052166E-1;6.768091321E-1;2.958863974E-1;8.179454240E-1
3.203222583E0;-4.447134435E-1;7.581756115E-1;3.384881914E-1;9.418994428E-1
3.213144583E0;-5.440154672E-1;7.705460787E-1;3.962613344E-1;1.023091948E0
3.223067583E0;-6.238964796E-1;7.147909403E-1;4.473439455E-1;1.048946858E0
3.232989583E0;-6.533340812E-1;6.148775816E-1;5.033564568E-1;1.028731055E0
3.242911583E0;-6.517729163E-1;4.665349722E-1;5.564905405E-1;9.757789383E-1
3.252834583E0;-6.157020330E-1;3.169409037E-1;6.107968092E-1;9.233706038E-1
3.262756583E0;-5.530666113E-1;2.088620961E-1;6.992643476E-1;9.156837224E-1
3.272678583E0;-4.820780158E-1;1.017641723E-1;8.261671662E-1;9.619289717E-1
3.282600583E0;-4.234479964E-1;-7.454001904E-2;9.940701127E-1;1.083069623E0
3.292523583E0;-3.329865038E-1;-1.283350140E-1;1.157182097E0;1.210958420E0
3.302445583E0;-2.259082496E-1;-8.781741560E-2;1.337822676E0;1.359601393E0
3.312367583E0;-1.246836334E-1;-8.498594165E-2;1.521499515E0;1.528963502E0
3.322290583E0;-4.385656863E-2;-1.292383671E-1;1.670007229E0;1.675574558E0
3.332212583E0;1.267580315E-2;-1.548590660E-1;1.794692636E0;1.801406024E0
3.342134583E0;5.062451959E-2;-1.484565586E-1;1.901020408E0;1.907480218E0
3.352056583E0;6.149978191E-2;-1.496217400E-1;1.985843897E0;1.992421861E0
3.361979583E0;5.284850299E-2;-1.706852168E-1;2.045659542E0;2.053448166E0
3.371901583E0;4.163444415E-2;-1.817709208E-1;2.103738785E0;2.111987445E0
3.381823583E0;5.517315492E-2;-1.504231244E-1;2.143720150E0;2.149699345E0
3.391746583E0;8.945764601E-2;-8.173750341E-2;2.170710087E0;2.174089688E0
3.401668583E0;1.596697420E-1;6.886371411E-3;2.181306362E0;2.187153240E0
3.411590583E0;2.435325831E-1;6.533586234E-2;2.200916529E0;2.215312723E0
3.421512583E0;3.133593202E-1;1.295297593E-1;2.223967552E0;2.249667463E0
3.431435583E0;3.603689075E-1;1.991676539E-1;2.261328459E0;2.298508191E0
3.441357583E0;3.746985793E-1;3.467216790E-1;2.307449579E0;2.363247450E0
3.451279583E0;3.578854203E-1;4.651618898E-1;2.376887798E0;2.448275549E0
3.461202583E0;3.158628643E-1;5.166687369E-1;2.445936441E0;2.519785905E0
3.471124583E0;2.475161254E-1;4.934408367E-1;2.492115736E0;2.552525991E0
3.481046583E0;1.690769643E-1;4.480198026E-1;2.494204283E0;2.539756635E0
3.490968583E0;1.025203094E-1;3.887229264E-1;2.461365223E0;2.493979689E0
3.500891583E0;6.687895954E-2;3.352021873E-1;2.450459957E0;2.474184169E0
3.510813583E0;7.076278329E-2;2.825118303E-1;2.467280388E0;2.484409954E0
3.520735583E0;9.281748533E-2;2.471224070E-1;2.441638708E0;2.455867291E0
3.530658583E0;1.202006638E-1;2.261870801E-1;2.360655546E0;2.374511192E0
3.540580583E0;1.574503034E-1;1.989895552E-1;2.248030663E0;2.262306191E0
3.550502583E0;1.871575564E-1;1.750385910E-1;2.113765240E0;2.129241637E0
3.560424583E0;1.936263740E-1;1.458098739E-1;1.958830833E0;1.973770485E0
3.570347583E0;1.751671731E-1;1.540272385E-1;1.794608593E0;1.809703824E0
3.580269583E0;1.319965273E-1;1.704932898E-1;1.660183907E0;1.674127130E0
3.590191583E0;6.110326201E-2;1.666087061E-1;1.560233593E0;1.570293264E0
3.600114583E0;6.461853161E-3;1.078772172E-1;1.496690035E0;1.500586655E0
3.610036583E0;7.587440312E-3;7.178766280E-2;1.465806842E0;1.467583298E0
3.619958583E0;8.609823138E-2;9.714095294E-2;1.442871928E0;1.448698958E0
3.629880583E0;1.572415233E-1;1.419598609E-1;1.414902210E0;1.430673185E0
3.639803583E0;2.054354250E-1;1.558631659E-1;1.385582447E0;1.409374243E0
3.649725583E0;2.108528763E-1;1.625541747E-1;1.371734977E0;1.397333046E0
3.659647583E0;1.651713997E-1;1.772345752E-1;1.393995047E0;1.414890765E0
3.669570583E0;8.732771873E-2;1.754518151E-1;1.443671107E0;1.456913085E0
3.679492583E0;3.410443664E-2;1.559649408E-1;1.502817988E0;1.511274324E0
3.689414583E0;1.673761755E-2;1.422087401E-1;1.535316348E0;1.541979171E0
3.699336583E0;-2.868840471E-3;1.844304949E-1;1.572103858E0;1.582887671E0
3.709259583E0;-4.086952657E-2;2.003747672E-1;1.609748244E0;1.622685976E0
3.719181583E0;-1.011627018E-1;1.934542656E-1;1.630059838E0;1.644613487E0
3.729103583E0;-1.464753896E-1;1.601070762E-1;1.637020111E0;1.651340110E0
3.739026583E0;-1.478426605E-1;1.536331922E-1;1.635235786E0;1.649077526E0
3.748948583E0;-1.247611716E-1;1.435608566E-1;1.607473016E0;1.618686062E0
3.758870583E0;-1.011956632E-1;1.601917595E-1;1.564727426E0;1.576157948E0
3.768792583E0;-1.119573712E-1;1.428111643E-1;1.484240651E0;1.495292544E0
3.778715583E0;-1.518563181E-1;1.216539443E-1;1.372699142E0;1.386420916E0
3.788637583E0;-1.876868904E-1;1.568652093E-1;1.246596575E0;1.270368483E0
3.798559583E0;-2.337574363E-1;1.671346277E-1;1.096124291E0;1.133165912E0
3.808482583E0;-2.689479887E-1;1.903415322E-1;9.358273149E-1;9.921369274E-1
3.818404583E0;-2.983149290E-1;1.812542975E-1;7.848332524E-1;8.589575958E-1
3.828326583E0;-2.985092998E-1;1.703915596E-1;6.277103424E-1;7.156544974E-1
3.838248583E0;-2.742782831E-1;1.622241884E-1;4.565896988E-1;5.567938729E-1
3.848171583E0;-2.248732001E-1;1.443455666E-1;2.909263372E-1;3.950211797E-1
3.858093583E0;-1.617933065E-1;8.910948038E-2;1.006325409E-1;2.103437230E-1
3.868015583E0;-7.721352577E-2;1.312447339E-1;-8.791961521E-2;1.758322140E-1
3.877938583E0;1.117226202E-2;6.888230145E-2;-2.370544970E-1;2.471121718E-1
3.887860583E0;8.668056875E-2;9.699339978E-3;-3.326644301E-1;3.439087398E-1
3.897782583E0;1.480451226E-1;-1.419507340E-2;-3.882361054E-1;4.157476783E-1
3.907704583E0;1.825584024E-1;-5.962185562E-2;-4.359768033E-1;4.764012059E-1
3.917627583E0;2.046924680E-1;-8.987883478E-2;-4.811400175E-1;5.305402227E-1
3.927549583E0;2.190071493E-1;-1.338259280E-1;-4.999407530E-1;5.619735465E-1
3.937471583E0;2.276054323E-1;-1.724412292E-1;-5.251992345E-1;5.978080346E-1
3.947394583E0;2.409678251E-1;-1.922128350E-1;-5.558115244E-1;6.355609469E-1
3.957316583E0;2.581422925E-1;-2.199326158E-1;-6.052240729E-1;6.937607492E-1
3.967238583E0;2.820532918E-1;-2.132649422E-1;-6.726641655E-1;7.599428100E-1
3.977160583E0;3.026166260E-1;-2.082760483E-1;-7.647725344E-1;8.484295869E-1
3.987083583E0;2.935902774E-1;-2.878940701E-1;-8.953354359E-1;9.852430103E-1
3.997005583E0;2.860527337E-1;-2.821035683E-1;-1.058697939E0;1.132364745E0
4.006927583E0;2.560120523E-1;-3.325288594E-1;-1.247554660E0;1.316248549E0
4.016850583E0;2.575428188E-1;-4.343971908E-1;-1.460215330E0;1.545075413E0
4.026772583E0;2.698978484E-1;-4.893838763E-1;-1.690392256E0;1.780384061E0
4.036694583E0;3.223155439E-1;-4.266232848E-1;-1.891103506E0;1.965239733E0
4.046616583E0;3.729457557E-1;-4.640618861E-1;-2.041208982E0;2.126258705E0
4.056539583E0;4.112198949E-1;-5.293138027E-1;-2.156745672E0;2.258501007E0
4.066461583E0;4.089272320E-1;-6.950467229E-1;-2.274387836E0;2.413120689E0
4.076383583E0;3.789496422E-1;-8.059924245E-1;-2.419844151E0;2.578540737E0
4.086306333E0;3.423305750E-1;-8.654937148E-1;-2.590912819E0;2.753016315E0
4.096228333E0;3.066050708E-1;-8.965344429E-1;-2.732542276E0;2.892156284E0
4.106150333E0;2.083691806E-1;-1.029940724E0;-2.895853043E0;3.080610403E0
4.116072333E0;3.821369633E-2;-9.660215974E-1;-3.000933170E0;3.152817455E0
4.125995333E0;-1.308980733E-1;-8.672009706E-1;-3.075323343E0;3.197934567E0
4.135917333E0;-2.973611057E-1;-7.737581730E-1;-3.090787649E0;3.200014630E0
4.145839333E0;-4.454070628E-1;-7.200851440E-1;-3.109688044E0;3.222897733E0
4.155762333E0;-5.558464527E-1;-6.318168044E-1;-3.151004553E0;3.261439474E0
4.165684333E0;-6.088576913E-1;-5.818325281E-1;-3.248531342E0;3.355919048E0
4.175606333E0;-6.397902966E-1;-6.143097878E-1;-3.388519287E0;3.502680559E0
4.185528333E0;-6.687232852E-1;-6.902125478E-1;-3.527046204E0;3.655631151E0
4.195451333E0;-7.133602500E-1;-8.768665791E-1;-3.641846418E0;3.813243131E0
4.205373333E0;-7.782718539E-1;-1.083685875E0;-3.719872952E0;3.951902950E0
4.215295333E0;-8.478264809E-1;-1.258316755E0;-3.778607368E0;4.071860072E0
4.225218333E0;-8.482781053E-1;-1.292981744E0;-3.837082624E0;4.136977230E0
4.235140333E0;-8.175063729E-1;-1.272362828E0;-3.852644682E0;4.138851880E0
4.245062333E0;-7.850791812E-1;-1.165337563E0;-3.805134058E0;4.056279842E0
4.254984333E0;-7.398967743E-1;-1.068794727E0;-3.682687044E0;3.905374921E0
4.264907333E0;-6.565064788E-1;-9.585837126E-1;-3.508097410E0;3.695487915E0
4.274829333E0;-5.530573130E-1;-7.965421081E-1;-3.288154840E0;3.428164812E0
4.284751333E0;-4.418471158E-1;-6.698343158E-1;-3.057046890E0;3.160607944E0
4.294674333E0;-3.391457796E-1;-5.819004774E-1;-2.806180477E0;2.885875412E0
4.304596333E0;-2.578876317E-1;-5.263434052E-1;-2.545479298E0;2.612088870E0
4.314518333E0;-1.562142670E-1;-4.541046321E-1;-2.325614929E0;2.374678655E0
4.324440333E0;-3.888488188E-2;-3.584998548E-1;-2.164085150E0;2.193923133E0
4.334363333E0;7.089062035E-2;-2.928148508E-1;-2.043829918E0;2.065915475E0
4.344285333E0;1.784544736E-1;-2.392576933E-1;-1.965149641E0;1.987687942E0
4.354207333E0;2.666637003E-1;-2.916364670E-1;-1.919133425E0;1.959396453E0
4.364130333E0;2.929762006E-1;-4.421610832E-1;-1.896991014E0;1.969750336E0
4.374052333E0;2.936347723E-1;-5.950745344E-1;-1.895840049E0;2.008617577E0
4.383974333E0;2.797651291E-1;-6.919308305E-1;-1.914036989E0;2.054403660E0
4.393896333E0;2.531886697E-1;-7.143384218E-1;-1.932486296E0;2.075785915E0
4.403819333E0;2.195296139E-1;-6.420000196E-1;-1.942187428E0;2.057291735E0
4.413741333E0;2.084971964E-1;-6.109646559E-1;-1.950759172E0;2.054801752E0
4.423663333E0;1.446253955E-1;-6.548120379E-1;-1.962137818E0;2.073567006E0
4.433586333E0;5.003684387E-2;-6.509669423E-1;-1.989205360E0;2.093609231E0
4.443508333E0;-2.437480539E-2;-6.479620934E-1;-2.011664629E0;2.113585481E0
4.453430333E0;-9.001373500E-2;-6.144009233E-1;-2.080805063E0;2.171483520E0
4.463352333E0;-1.615771502E-1;-5.481466055E-1;-2.067229509E0;2.144763325E0
4.473275333E0;-2.258549482E-1;-4.031513035E-1;-2.045051336E0;2.096610693E0
4.483197333E0;-3.487609923E-1;-4.688319862E-1;-1.995386004E0;2.079183245E0
4.493119333E0;-4.451264143E-1;-4.880440235E-1;-1.969341278E0;2.077168641E0
4.503042333E0;-4.637045264E-1;-4.309544265E-1;-1.948394775E0;2.048654633E0
4.512964333E0;-4.581960440E-1;-4.234563112E-1;-1.926764369E0;2.025260427E0
4.522886333E0;-4.082855880E-1;-4.639708996E-1;-1.886279225E0;1.984947212E0
4.532808333E0;-3.331900239E-1;-4.790321589E-1;-1.832675695E0;1.923327223E0
4.542731333E0;-2.492637336E-1;-4.431501329E-1;-1.767030120E0;1.838725073E0
4.552653333E0;-1.649648249E-1;-4.187598228E-1;-1.667123795E0;1.726810623E0
4.562575333E0;-8.701067418E-2;-3.125277162E-1;-1.564531207E0;1.597811731E0
4.572498333E0;3.602923080E-2;-7.920046151E-2;-1.490403771E0;1.492941466E0
4.582420333E0;1.546190679E-1;-3.412576765E-2;-1.360122681E0;1.369308340E0
4.592342333E0;2.314882874E-1;3.500616550E-2;-1.240582943E0;1.262481009E0
4.602265333E0;2.941317558E-1;1.300233454E-1;-1.168331742E0;1.211783240E0
4.612187333E0;3.664685488E-1;2.093847543E-1;-1.108790636E0;1.186405431E0
4.622109333E0;3.981800675E-1;2.320217490E-1;-1.025760770E0;1.124529508E0
4.632031333E0;4.150157571E-1;1.996496916E-1;-9.712631106E-1;1.074918652E0
4.641954333E0;4.109351337E-1;2.327397317E-1;-9.082489610E-1;1.023695092E0
4.651876333E0;4.160374999E-1;1.336192638E-1;-8.515915275E-1;9.571569561E-1
4.661798333E0;3.899837136E-1;6.812720746E-2;-8.093948960E-1;9.010264763E-1
4.671721333E0;3.556100130E-1;5.306383595E-2;-7.717585564E-1;8.514020915E-1
4.681643333E0;3.347162902E-1;-1.046267673E-1;-7.652546763E-1;8.417817265E-1
4.691565333E0;2.852904201E-1;-9.701705724E-2;-7.555783391E-1;8.134504040E-1
4.701487333E0;2.858997583E-1;-1.656869352E-1;-7.369848490E-1;8.076741298E-1
4.711410333E0;2.891797125E-1;-1.962048709E-1;-6.830667853E-1;7.672688517E-1
4.721332333E0;2.939368188E-1;-3.337571025E-1;-6.544276476E-1;7.912447174E-1
4.731254333E0;2.486976832E-1;-4.182320535E-1;-6.336488724E-1;7.989239524E-1
4.741177333E0;1.763345301E-1;-4.330299199E-1;-6.205754280E-1;7.769959072E-1
4.751099333E0;1.025061160E-1;-4.588434100E-1;-5.893945694E-1;7.539434575E-1
4.761021333E0;4.125367850E-2;-4.802102149E-1;-5.251277089E-1;7.127852602E-1
4.770943333E0;-4.006195068E-2;-5.593748093E-1;-4.351714849E-1;7.098446016E-1
4.780866333E0;-1.208469346E-1;-5.526039600E-1;-3.894484639E-1;6.867643150E-1
4.790788333E0;-1.740899235E-1;-4.581304789E-1;-2.598710060E-1;5.547285615E-1
4.800710333E0;-2.090630084E-1;-3.833532631E-1;-8.610716462E-2;4.450634895E-1
4.810633333E0;-2.888576984E-1;-2.441274673E-1;9.982036054E-2;3.911535435E-1
4.820555333E0;-3.239991069E-1;-1.547585875E-1;2.517579198E-1;4.385290091E-1
4.830477333E0;-3.419117928E-1;1.298114471E-2;3.672216535E-1;5.019202396E-1
4.840399333E0;-3.255119622E-1;1.422865689E-1;4.921677411E-1;6.069864830E-1
4.850322333E0;-3.130859137E-1;2.571481764E-1;6.237459779E-1;7.437788777E-1
4.860244333E0;-2.929175496E-1;3.682978749E-1;7.441344857E-1;8.804431545E-1
4.870166333E0;-2.654608786E-1;4.834276438E-1;8.539296985E-1;1.016546947E0
4.880089333E0;-2.372778207E-1;5.739277601E-1;9.771675467E-1;1.157821339E0
4.890011333E0;-2.082714736E-1;6.642345190E-1;1.089053512E0;1.292525456E0
4.899933333E0;-1.504136175E-1;7.107521892E-1;1.196305633E0;1.399621412E0
4.909856333E0;-8.811881393E-2;8.385386467E-1;1.342612267E0;1.585408366E0
4.919778333E0;-3.128363937E-2;9.000092149E-1;1.564668775E0;1.805320921E0
4.929700333E0;5.738364160E-2;1.074285984E0;1.770305872E0;2.071561280E0
4.939622333E0;1.984376013E-1;1.392032027E0;1.963216186E0;2.414818510E0
4.949545333E0;3.997400701E-1;1.571193218E0;2.136960506E0;2.682357258E0
4.959467333E0;6.294760108E-1;1.715028644E0;2.268953323E0;2.913024627E0
4.969389333E0;7.496466041E-1;1.927490473E0;2.359484434E0;3.137571728E0
4.979312333E0;7.085724473E-1;2.219357491E0;2.405868530E0;3.349003728E0
4.989234333E0;6.650311351E-1;2.654870987E0;2.429909706E0;3.659927260E0
4.999156333E0;5.634758472E-1;3.041925430E0;2.437408447E0;3.938499117E0
5.009078333E0;4.548947811E-1;3.190703630E0;2.437685728E0;4.041018514E0
5.019001333E0;4.108677208E-1;2.958814383E0;2.400090456E0;3.831948464E0
5.028923333E0;4.182859659E-1;2.491998196E0;2.341619730E0;3.445025561E0
5.038845333E0;3.778685629E-1;2.093136311E0;2.225641966E0;3.078552651E0
5.048768333E0;2.725568116E-1;1.702624679E0;2.119578838E0;2.732367556E0
5.058690333E0;1.114006862E-1;1.174664259E0;2.055068016E0;2.369715338E0
5.068612333E0;-7.635829598E-2;9.017043114E-1;1.962029338E0;2.160662023E0
5.078535333E0;-2.059679329E-1;8.769979477E-1;1.857682347E0;2.064590006E0
5.088457583E0;-2.444295734E-1;9.097127318E-1;1.746625304E0;1.984445269E0
5.098379583E0;-2.236865014E-1;9.213669896E-1;1.688370943E0;1.936375279E0
5.108301583E0;-1.890374422E-1;8.492326140E-1;1.618934035E0;1.837900595E0
5.118224583E0;-2.049500793E-1;6.757418513E-1;1.541150093E0;1.695221282E0
5.128146583E0;-2.200738937E-1;4.325267673E-1;1.431149602E0;1.511191949E0
5.138068583E0;-2.185259312E-1;2.268290073E-1;1.216796160E0;1.256900106E0
5.147991583E0;-2.486164570E-1;-3.232904524E-2;9.880021811E-1;1.019315270E0
5.157913583E0;-3.431112468E-1;-2.900945246E-1;7.606934905E-1;8.834787759E-1
5.167835583E0;-4.650568664E-1;-3.920229971E-1;5.685086250E-1;8.325634967E-1
5.177757583E0;-5.912397504E-1;-3.673364520E-1;4.770636559E-1;8.438543969E-1
5.187680583E0;-6.561255455E-1;-2.782715559E-1;4.981422722E-1;8.695294783E-1
5.197602583E0;-6.391240954E-1;-1.477025598E-1;5.590419769E-1;8.618721411E-1
5.207524583E0;-6.150030494E-1;-1.540418435E-2;6.213287711E-1;8.743657595E-1
5.217447583E0;-6.149870157E-1;1.192124784E-1;6.439432502E-1;8.983782911E-1
5.227369583E0;-6.266668439E-1;2.994328439E-1;6.536904573E-1;9.537728111E-1
5.237291583E0;-6.628870964E-1;3.851449788E-1;7.669650912E-1;1.084431376E0
5.247214583E0;-6.340495944E-1;5.466257334E-1;8.020450473E-1;1.159351042E0
5.257136583E0;-5.072940588E-1;6.581821442E-1;7.167361379E-1;1.097388577E0
5.267058583E0;-4.041830897E-1;5.325195789E-1;6.941850185E-1;9.637602980E-1
5.276980583E0;-3.319748342E-1;4.224230945E-1;6.570309401E-1;8.487274106E-1
5.286903583E0;-3.168936372E-1;2.893316150E-1;5.867328048E-1;7.269042199E-1
5.296825583E0;-3.035566509E-1;1.867993772E-1;4.943335354E-1;6.094311215E-1
5.306747583E0;-2.570211291E-1;5.646240339E-2;3.900590539E-1;4.705251633E-1
5.316670583E0;-2.204820812E-1;-9.367000312E-2;3.320039511E-1;4.094057170E-1
5.326592583E0;-1.824614704E-1;-1.531927194E-2;3.238831758E-1;3.720580329E-1
5.336514583E0;-1.073686779E-1;6.431195885E-2;3.164732456E-1;3.403224592E-1
5.346436583E0;-1.903135888E-2;6.535591930E-2;2.458249182E-1;2.550754382E-1
5.356359583E0;2.347400412E-2;1.462346409E-2;2.093198746E-1;2.111390170E-1
5.366281583E0;4.100399464E-2;5.789796636E-2;1.627510339E-1;1.775426741E-1
5.376203583E0;4.772284254E-2;8.635962009E-2;1.083464548E-1;1.465414888E-1
5.386126583E0;2.522978559E-2;5.297822505E-2;7.217753679E-2;9.302059571E-2
5.396048583E0;-2.565652505E-2;9.863855317E-3;4.019709677E-2;4.869660673E-2
5.405970583E0;-7.810641825E-2;-4.181504995E-2;2.447166294E-2;9.191285689E-2
5.415893583E0;-1.121105775E-1;-8.670739830E-2;5.053305067E-3;1.418185122E-1
5.425815583E0;-1.121883392E-1;-1.002575606E-1;-8.249184117E-3;1.506846076E-1
5.435737583E0;-9.609258920E-2;-1.004072130E-1;-1.046006195E-2;1.393729063E-1
5.445659583E0;-6.137428805E-2;-2.933249809E-2;-2.933281846E-2;7.407842410E-2
5.455582583E0;-4.825989902E-2;-5.777256563E-2;-3.550774604E-2;8.323152781E-2
5.465504583E0;-5.412178114E-2;-7.027903944E-2;-5.271869153E-2;1.031870681E-1
5.475426583E0;-7.718902081E-2;-5.925780162E-2;-5.856639519E-2;1.135766465E-1
5.485349583E0;-7.920663059E-2;-4.542401433E-2;-5.432504416E-2;1.062461380E-1
5.495271583E0;-7.593262941E-2;-4.285211489E-2;-5.153796077E-2;1.012829174E-1
5.505193583E0;-7.603249699E-2;-6.645890325E-2;-3.879686818E-2;1.081800508E-1
5.515116583E0;-6.819691509E-2;-5.979295447E-2;-4.113037512E-2;9.958777229E-2
5.525038583E0;-4.276746139E-2;-4.428936169E-2;-6.137732044E-2;8.693548629E-2
5.534960583E0;-2.226457000E-2;-4.979140684E-2;-7.639046758E-2;9.386372468E-2
5.544882583E0;-1.613796875E-2;-5.751723424E-2;-7.037571818E-2;9.231147263E-2
5.554805583E0;-7.988301106E-3;-3.636590019E-2;-6.220415607E-2;7.249585287E-2
5.564727583E0;-9.700180963E-3;-1.965243556E-2;-5.846747383E-2;6.244002907E-2
5.574649583E0;9.010497481E-3;1.890687644E-2;-4.955537990E-2;5.379957917E-2
5.584572583E0;3.392916173E-2;9.056641161E-2;-3.818101808E-2;1.039771757E-1
5.594494583E0;6.284588948E-3;1.231421381E-1;-4.334745929E-2;1.306999788E-1
5.604416583E0;-3.482554341E-3;3.915562108E-2;-7.166618854E-2;8.173942394E-2
5.614338583E0;-1.660677791E-2;-1.786006428E-2;-8.677607030E-2;9.013796839E-2
5.624261583E0;-1.071506739E-2;-6.981967390E-2;-8.733399957E-2;1.123246501E-1
5.634183583E0;1.005554106E-2;-1.220667139E-1;-7.290215045E-2;1.425346277E-1
5.644105583E0;4.538397118E-2;-1.567642391E-1;-3.220851719E-2;1.663493916E-1
5.654028583E0;7.739003003E-2;-1.610366106E-1;1.131376065E-2;1.790251599E-1
5.663950583E0;9.451416135E-2;-1.808372140E-1;4.805126786E-2;2.096281207E-1
5.673872583E0;6.336691976E-2;-1.901419908E-1;3.445373476E-2;2.033627375E-1
5.683795583E0;-4.707809538E-2;-2.331309915E-1;-1.927420683E-2;2.386166409E-1
